threshold, tp, fp, fn, numKnownAddresses
1, 0, 1, 48, 13430
2, 1, 1, 47, 13430
3, 1, 2, 47, 13430
4, 1, 2, 47, 13430
5, 1, 2, 47, 13430
6, 2, 2, 46, 13430
7, 3, 2, 45, 13430
8, 3, 2, 45, 13430
9, 3, 2, 45, 13430
10, 3, 2, 45, 13430
15, 7, 2, 41, 13430
20, 9, 2, 39, 13430
25, 9, 2, 39, 13430
30, 9, 3, 39, 13430
35, 9, 4, 39, 13430
40, 9, 4, 39, 13430
45, 10, 6, 38, 13430
50, 10, 11, 38, 13430
55, 10, 16, 38, 13430
60, 10, 21, 38, 13430
65, 10, 26, 38, 13430
70, 10, 31, 38, 13430
75, 10, 36, 38, 13430
80, 10, 41, 38, 13430
85, 10, 46, 38, 13430
90, 10, 51, 38, 13430
95, 10, 56, 38, 13430
