threshold, tp, fp, fn, numKnownAddresses
10, 3, 2, 55, 13319
20, 8, 4, 50, 13319
30, 9, 4, 49, 13319
40, 9, 4, 49, 13319
50, 11, 4, 47, 13319
60, 11, 5, 47, 13319
70, 12, 5, 46, 13319
80, 13, 5, 45, 13319
90, 14, 5, 44, 13319
100, 14, 6, 44, 13319
110, 14, 6, 44, 13319
120, 14, 9, 44, 13319
130, 14, 138, 44, 13319
140, 15, 299, 43, 13319
150, 15, 487, 43, 13319
160, 15, 663, 43, 13319
170, 16, 872, 42, 13319
180, 16, 1022, 42, 13319
190, 18, 1190, 40, 13319
200, 18, 1357, 40, 13319
240, 20, 1969, 38, 13319
280, 20, 2518, 38, 13319
320, 21, 3063, 37, 13319
360, 23, 3511, 35, 13319
400, 24, 3942, 34, 13319
440, 24, 4359, 34, 13319
480, 24, 4802, 34, 13319
