threshold, tp, fp, fn, numKnownAddresses
10, 5, 3, 39, 13454
20, 8, 3, 36, 13454
30, 8, 5, 36, 13454
40, 8, 5, 36, 13454
50, 8, 6, 36, 13454
60, 8, 6, 36, 13454
70, 9, 6, 35, 13454
80, 9, 6, 35, 13454
90, 9, 6, 35, 13454
100, 10, 6, 34, 13454
110, 10, 6, 34, 13454
120, 11, 21, 33, 13454
130, 11, 113, 33, 13454
140, 12, 202, 32, 13454
150, 12, 296, 32, 13454
160, 12, 383, 32, 13454
170, 13, 481, 31, 13454
180, 13, 587, 31, 13454
190, 13, 691, 31, 13454
200, 14, 797, 30, 13454
240, 15, 1155, 29, 13454
280, 17, 1552, 27, 13454
320, 19, 2015, 25, 13454
360, 19, 2427, 25, 13454
400, 19, 2790, 25, 13454
440, 21, 3236, 23, 13454
480, 21, 3733, 23, 13454
