threshold, tp, fp, fn, numKnownAddresses
1, 0, 1, 50, 13254
2, 0, 1, 50, 13254
3, 1, 1, 49, 13254
4, 2, 1, 48, 13254
5, 3, 1, 47, 13254
6, 4, 1, 46, 13254
7, 4, 1, 46, 13254
8, 4, 1, 46, 13254
9, 5, 1, 45, 13254
10, 5, 1, 45, 13254
15, 8, 1, 42, 13254
20, 11, 1, 39, 13254
25, 11, 1, 39, 13254
30, 12, 1, 38, 13254
35, 12, 1, 38, 13254
40, 12, 1, 38, 13254
45, 12, 1, 38, 13254
50, 13, 2, 37, 13254
55, 13, 7, 37, 13254
60, 13, 12, 37, 13254
65, 13, 17, 37, 13254
70, 13, 22, 37, 13254
75, 13, 27, 37, 13254
80, 13, 32, 37, 13254
85, 13, 37, 37, 13254
90, 13, 42, 37, 13254
95, 13, 47, 37, 13254
