threshold, tp, fp, fn, numKnownAddresses
10, 3, 3, 41, 13281
20, 8, 3, 36, 13281
30, 8, 3, 36, 13281
40, 8, 4, 36, 13281
50, 8, 4, 36, 13281
60, 8, 4, 36, 13281
70, 8, 4, 36, 13281
80, 8, 4, 36, 13281
90, 8, 4, 36, 13281
100, 8, 4, 36, 13281
110, 9, 5, 35, 13281
120, 9, 6, 35, 13281
130, 9, 96, 35, 13281
140, 9, 201, 35, 13281
150, 9, 314, 35, 13281
160, 9, 412, 35, 13281
170, 9, 507, 35, 13281
180, 10, 598, 34, 13281
190, 10, 688, 34, 13281
200, 11, 770, 33, 13281
240, 11, 1107, 33, 13281
280, 12, 1498, 32, 13281
320, 13, 1955, 31, 13281
360, 15, 2409, 29, 13281
400, 16, 2869, 28, 13281
440, 17, 3423, 27, 13281
480, 18, 3968, 26, 13281
