threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 48, 13408
2, 1, 1, 48, 13408
3, 1, 2, 48, 13408
4, 2, 2, 47, 13408
5, 3, 2, 46, 13408
6, 4, 2, 45, 13408
7, 5, 2, 44, 13408
8, 6, 2, 43, 13408
9, 7, 2, 42, 13408
10, 8, 2, 41, 13408
15, 9, 3, 40, 13408
20, 9, 5, 40, 13408
25, 9, 5, 40, 13408
30, 9, 8, 40, 13408
35, 10, 12, 39, 13408
40, 10, 17, 39, 13408
45, 10, 22, 39, 13408
50, 10, 27, 39, 13408
55, 10, 32, 39, 13408
60, 10, 37, 39, 13408
65, 10, 42, 39, 13408
70, 10, 47, 39, 13408
75, 10, 52, 39, 13408
80, 10, 57, 39, 13408
85, 10, 62, 39, 13408
90, 10, 67, 39, 13408
95, 10, 72, 39, 13408
