threshold, tp, fp, fn
10, 5, 0, 22
20, 9, 0, 18
30, 10, 0, 17
40, 10, 0, 17
50, 10, 0, 17
60, 10, 1, 17
70, 10, 1, 17
80, 10, 1, 17
90, 10, 1, 17
100, 10, 1, 17
110, 10, 1, 17
120, 10, 3, 17
130, 10, 76, 17
140, 10, 152, 17
150, 10, 215, 17
160, 10, 290, 17
170, 11, 368, 16
180, 11, 437, 16
190, 11, 488, 16
200, 11, 541, 16
240, 11, 804, 16
280, 13, 1065, 14
320, 14, 1287, 13
360, 14, 1499, 13
400, 14, 1722, 13
440, 14, 1922, 13
480, 16, 2151, 11
