threshold, tp, fp, fn, numKnownAddresses
10, 6, 3, 36, 13247
20, 8, 4, 34, 13247
30, 8, 4, 34, 13247
40, 8, 4, 34, 13247
50, 8, 4, 34, 13247
60, 8, 4, 34, 13247
70, 9, 4, 33, 13247
80, 10, 4, 32, 13247
90, 10, 5, 32, 13247
100, 10, 5, 32, 13247
110, 10, 5, 32, 13247
120, 10, 5, 32, 13247
130, 10, 107, 32, 13247
140, 10, 222, 32, 13247
150, 10, 332, 32, 13247
160, 10, 439, 32, 13247
170, 10, 555, 32, 13247
180, 10, 698, 32, 13247
190, 10, 830, 32, 13247
200, 10, 985, 32, 13247
240, 10, 1452, 32, 13247
280, 13, 1933, 29, 13247
320, 15, 2377, 27, 13247
360, 15, 2776, 27, 13247
400, 16, 3102, 26, 13247
440, 17, 3433, 25, 13247
480, 17, 3809, 25, 13247
