threshold, tp, fp, fn, numKnownAddresses
10, 5, 0, 47, 13265
20, 9, 0, 43, 13265
30, 10, 0, 42, 13265
40, 10, 0, 42, 13265
50, 10, 0, 42, 13265
60, 11, 0, 41, 13265
70, 12, 1, 40, 13265
80, 13, 1, 39, 13265
90, 14, 1, 38, 13265
100, 14, 1, 38, 13265
110, 14, 1, 38, 13265
120, 14, 7, 38, 13265
130, 16, 163, 36, 13265
140, 16, 307, 36, 13265
150, 16, 424, 36, 13265
160, 16, 560, 36, 13265
170, 16, 713, 36, 13265
180, 17, 876, 35, 13265
190, 17, 1032, 35, 13265
200, 18, 1204, 34, 13265
240, 20, 1807, 32, 13265
280, 24, 2367, 28, 13265
320, 25, 2914, 27, 13265
360, 25, 3371, 27, 13265
400, 26, 3864, 26, 13265
440, 27, 4270, 25, 13265
480, 27, 4669, 25, 13265
