threshold, tp, fp, fn, numKnownAddresses
10, 5, 5, 40, 13596
20, 8, 5, 37, 13596
30, 9, 6, 36, 13596
40, 9, 7, 36, 13596
50, 9, 7, 36, 13596
60, 9, 9, 36, 13596
70, 9, 9, 36, 13596
80, 11, 10, 34, 13596
90, 11, 10, 34, 13596
100, 11, 10, 34, 13596
110, 11, 10, 34, 13596
120, 11, 20, 34, 13596
130, 11, 210, 34, 13596
140, 11, 513, 34, 13596
150, 11, 664, 34, 13596
160, 11, 816, 34, 13596
170, 11, 949, 34, 13596
180, 12, 1071, 33, 13596
190, 12, 1202, 33, 13596
200, 12, 1316, 33, 13596
240, 15, 1810, 30, 13596
280, 16, 2294, 29, 13596
320, 18, 2735, 27, 13596
360, 19, 3121, 26, 13596
400, 20, 3514, 25, 13596
440, 21, 3918, 24, 13596
480, 22, 4294, 23, 13596
