threshold, tp, fp, fn, numKnownAddresses
10, 6, 0, 42, 13283
20, 8, 1, 40, 13283
30, 8, 2, 40, 13283
40, 8, 2, 40, 13283
50, 8, 2, 40, 13283
60, 8, 4, 40, 13283
70, 8, 4, 40, 13283
80, 8, 4, 40, 13283
90, 8, 4, 40, 13283
100, 8, 4, 40, 13283
110, 9, 4, 39, 13283
120, 9, 7, 39, 13283
130, 10, 109, 38, 13283
140, 10, 265, 38, 13283
150, 10, 394, 38, 13283
160, 10, 522, 38, 13283
170, 10, 644, 38, 13283
180, 10, 766, 38, 13283
190, 11, 910, 37, 13283
200, 11, 1040, 37, 13283
240, 11, 1661, 37, 13283
280, 14, 2255, 34, 13283
320, 14, 2923, 34, 13283
360, 14, 3539, 34, 13283
400, 15, 4188, 33, 13283
440, 15, 4770, 33, 13283
480, 15, 5403, 33, 13283
