threshold, tp, fp, fn, numKnownAddresses
10, 4, 3, 39, 13279
20, 8, 3, 35, 13279
30, 8, 4, 35, 13279
40, 8, 4, 35, 13279
50, 8, 4, 35, 13279
60, 8, 4, 35, 13279
70, 8, 4, 35, 13279
80, 8, 4, 35, 13279
90, 8, 4, 35, 13279
100, 8, 4, 35, 13279
110, 8, 4, 35, 13279
120, 8, 6, 35, 13279
130, 8, 116, 35, 13279
140, 8, 269, 35, 13279
150, 8, 394, 35, 13279
160, 8, 502, 35, 13279
170, 8, 617, 35, 13279
180, 8, 736, 35, 13279
190, 8, 869, 35, 13279
200, 10, 1022, 33, 13279
240, 14, 1451, 29, 13279
280, 14, 1880, 29, 13279
320, 15, 2251, 28, 13279
360, 15, 2586, 28, 13279
400, 16, 2941, 27, 13279
440, 17, 3376, 26, 13279
480, 19, 3827, 24, 13279
