threshold, tp, fp, fn, numKnownAddresses
1, 0, 1, 43, 13279
2, 0, 2, 43, 13279
3, 0, 3, 43, 13279
4, 0, 3, 43, 13279
5, 0, 3, 43, 13279
6, 0, 3, 43, 13279
7, 1, 3, 42, 13279
8, 2, 3, 41, 13279
9, 3, 3, 40, 13279
10, 4, 3, 39, 13279
15, 4, 3, 39, 13279
20, 8, 3, 35, 13279
25, 8, 4, 35, 13279
30, 8, 4, 35, 13279
35, 8, 4, 35, 13279
40, 8, 4, 35, 13279
45, 8, 6, 35, 13279
50, 8, 11, 35, 13279
55, 8, 16, 35, 13279
60, 8, 21, 35, 13279
65, 8, 26, 35, 13279
70, 8, 31, 35, 13279
75, 8, 36, 35, 13279
80, 8, 41, 35, 13279
85, 8, 46, 35, 13279
90, 8, 51, 35, 13279
95, 8, 56, 35, 13279
