threshold, tp, fp, fn, numKnownAddresses
10, 4, 2, 45, 13408
20, 9, 2, 40, 13408
30, 9, 2, 40, 13408
40, 9, 3, 40, 13408
50, 9, 4, 40, 13408
60, 9, 5, 40, 13408
70, 9, 6, 40, 13408
80, 9, 6, 40, 13408
90, 9, 7, 40, 13408
100, 9, 7, 40, 13408
110, 9, 7, 40, 13408
120, 10, 10, 39, 13408
130, 10, 108, 39, 13408
140, 10, 271, 39, 13408
150, 11, 434, 38, 13408
160, 11, 611, 38, 13408
170, 11, 775, 38, 13408
180, 11, 942, 38, 13408
190, 11, 1136, 38, 13408
200, 11, 1287, 38, 13408
240, 12, 1932, 37, 13408
280, 13, 2581, 36, 13408
320, 13, 3225, 36, 13408
360, 14, 3938, 35, 13408
400, 16, 4556, 33, 13408
440, 17, 5105, 32, 13408
480, 18, 5596, 31, 13408
