threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 43, 13370
2, 2, 0, 42, 13370
3, 2, 1, 42, 13370
4, 3, 1, 41, 13370
5, 3, 1, 41, 13370
6, 3, 1, 41, 13370
7, 4, 1, 40, 13370
8, 5, 1, 39, 13370
9, 6, 1, 38, 13370
10, 7, 1, 37, 13370
15, 8, 1, 36, 13370
20, 8, 1, 36, 13370
25, 8, 2, 36, 13370
30, 8, 2, 36, 13370
35, 8, 2, 36, 13370
40, 8, 2, 36, 13370
45, 8, 5, 36, 13370
50, 8, 10, 36, 13370
55, 8, 15, 36, 13370
60, 8, 20, 36, 13370
65, 8, 25, 36, 13370
70, 8, 30, 36, 13370
75, 8, 35, 36, 13370
80, 8, 40, 36, 13370
85, 8, 45, 36, 13370
90, 8, 50, 36, 13370
95, 8, 55, 36, 13370
