threshold, tp, fp, fn, numKnownAddresses
10, 5, 1, 40, 13340
20, 8, 1, 37, 13340
30, 8, 1, 37, 13340
40, 9, 1, 36, 13340
50, 9, 1, 36, 13340
60, 9, 2, 36, 13340
70, 9, 2, 36, 13340
80, 10, 2, 35, 13340
90, 11, 2, 34, 13340
100, 11, 2, 34, 13340
110, 11, 2, 34, 13340
120, 12, 4, 33, 13340
130, 13, 85, 32, 13340
140, 13, 179, 32, 13340
150, 13, 275, 32, 13340
160, 13, 384, 32, 13340
170, 14, 484, 31, 13340
180, 16, 617, 29, 13340
190, 17, 731, 28, 13340
200, 17, 838, 28, 13340
240, 17, 1250, 28, 13340
280, 18, 1621, 27, 13340
320, 19, 2089, 26, 13340
360, 19, 2607, 26, 13340
400, 20, 3114, 25, 13340
440, 20, 3587, 25, 13340
480, 20, 4092, 25, 13340
