threshold, tp, fp, fn, numKnownAddresses
10, 5, 0, 38, 13393
20, 9, 0, 34, 13393
30, 9, 0, 34, 13393
40, 9, 0, 34, 13393
50, 9, 1, 34, 13393
60, 10, 2, 33, 13393
70, 10, 2, 33, 13393
80, 10, 2, 33, 13393
90, 10, 2, 33, 13393
100, 10, 2, 33, 13393
110, 10, 2, 33, 13393
120, 10, 3, 33, 13393
130, 10, 112, 33, 13393
140, 10, 220, 33, 13393
150, 10, 364, 33, 13393
160, 10, 492, 33, 13393
170, 11, 635, 32, 13393
180, 12, 781, 31, 13393
190, 12, 917, 31, 13393
200, 12, 1041, 31, 13393
240, 13, 1553, 30, 13393
280, 14, 2076, 29, 13393
320, 15, 2584, 28, 13393
360, 15, 3179, 28, 13393
400, 17, 3753, 26, 13393
440, 18, 4404, 25, 13393
480, 18, 4989, 25, 13393
