threshold, tp, fp, fn, numKnownAddresses
10, 6, 1, 44, 13254
20, 10, 1, 40, 13254
30, 12, 1, 38, 13254
40, 12, 1, 38, 13254
50, 12, 1, 38, 13254
60, 12, 2, 38, 13254
70, 12, 2, 38, 13254
80, 12, 2, 38, 13254
90, 13, 3, 37, 13254
100, 13, 4, 37, 13254
110, 13, 4, 37, 13254
120, 13, 11, 37, 13254
130, 13, 132, 37, 13254
140, 13, 282, 37, 13254
150, 14, 474, 36, 13254
160, 14, 624, 36, 13254
170, 15, 763, 35, 13254
180, 15, 888, 35, 13254
190, 15, 1031, 35, 13254
200, 15, 1211, 35, 13254
240, 17, 1917, 33, 13254
280, 19, 2668, 31, 13254
320, 23, 3422, 27, 13254
360, 23, 4161, 27, 13254
400, 23, 4796, 27, 13254
440, 24, 5384, 26, 13254
480, 25, 6049, 25, 13254
