threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 50, 13335
2, 2, 0, 49, 13335
3, 3, 0, 48, 13335
4, 3, 1, 48, 13335
5, 3, 1, 48, 13335
6, 3, 1, 48, 13335
7, 3, 1, 48, 13335
8, 3, 1, 48, 13335
9, 4, 1, 47, 13335
10, 5, 1, 46, 13335
15, 7, 1, 44, 13335
20, 8, 1, 43, 13335
25, 9, 1, 42, 13335
30, 9, 1, 42, 13335
35, 9, 1, 42, 13335
40, 9, 1, 42, 13335
45, 9, 3, 42, 13335
50, 9, 5, 42, 13335
55, 10, 9, 41, 13335
60, 10, 14, 41, 13335
65, 10, 19, 41, 13335
70, 10, 24, 41, 13335
75, 10, 29, 41, 13335
80, 10, 34, 41, 13335
85, 10, 39, 41, 13335
90, 10, 44, 41, 13335
95, 10, 49, 41, 13335
