threshold, tp, fp, fn, numKnownAddresses
10, 4, 1, 48, 13219
20, 9, 2, 43, 13219
30, 9, 2, 43, 13219
40, 9, 2, 43, 13219
50, 9, 2, 43, 13219
60, 10, 4, 42, 13219
70, 11, 4, 41, 13219
80, 11, 4, 41, 13219
90, 11, 4, 41, 13219
100, 11, 5, 41, 13219
110, 12, 5, 40, 13219
120, 12, 5, 40, 13219
130, 12, 145, 40, 13219
140, 13, 311, 39, 13219
150, 13, 491, 39, 13219
160, 13, 718, 39, 13219
170, 13, 880, 39, 13219
180, 13, 1071, 39, 13219
190, 13, 1248, 39, 13219
200, 14, 1398, 38, 13219
240, 16, 2121, 36, 13219
280, 17, 2685, 35, 13219
320, 17, 3271, 35, 13219
360, 19, 3886, 33, 13219
400, 23, 4414, 29, 13219
440, 25, 4962, 27, 13219
480, 25, 5398, 27, 13219
