threshold, tp, fp, fn, numKnownAddresses
10, 6, 1, 55, 13503
20, 8, 1, 53, 13503
30, 9, 3, 52, 13503
40, 9, 3, 52, 13503
50, 10, 3, 51, 13503
60, 10, 5, 51, 13503
70, 10, 5, 51, 13503
80, 10, 5, 51, 13503
90, 10, 5, 51, 13503
100, 11, 6, 50, 13503
110, 11, 6, 50, 13503
120, 12, 9, 49, 13503
130, 13, 209, 48, 13503
140, 13, 368, 48, 13503
150, 13, 548, 48, 13503
160, 13, 711, 48, 13503
170, 15, 882, 46, 13503
180, 17, 1025, 44, 13503
190, 18, 1223, 43, 13503
200, 19, 1369, 42, 13503
240, 21, 1962, 40, 13503
280, 21, 2500, 40, 13503
320, 22, 3036, 39, 13503
360, 24, 3633, 37, 13503
400, 26, 4122, 35, 13503
440, 26, 4642, 35, 13503
480, 27, 5166, 34, 13503
