threshold, tp, fp, fn, numKnownAddresses
10, 9, 2, 43, 13601
20, 11, 2, 41, 13601
30, 14, 4, 38, 13601
40, 14, 5, 38, 13601
50, 15, 7, 37, 13601
60, 15, 7, 37, 13601
70, 15, 8, 37, 13601
80, 15, 8, 37, 13601
90, 16, 8, 36, 13601
100, 16, 9, 36, 13601
110, 16, 9, 36, 13601
120, 16, 11, 36, 13601
130, 16, 104, 36, 13601
140, 17, 252, 35, 13601
150, 18, 407, 34, 13601
160, 18, 547, 34, 13601
170, 18, 689, 34, 13601
180, 18, 819, 34, 13601
190, 18, 1006, 34, 13601
200, 18, 1219, 34, 13601
240, 18, 1901, 34, 13601
280, 19, 2409, 33, 13601
320, 21, 2934, 31, 13601
360, 22, 3420, 30, 13601
400, 24, 3865, 28, 13601
440, 24, 4275, 28, 13601
480, 25, 4675, 27, 13601
