threshold, tp, fp, fn, numKnownAddresses
10, 4, 2, 43, 13308
20, 9, 2, 38, 13308
30, 9, 3, 38, 13308
40, 9, 6, 38, 13308
50, 9, 6, 38, 13308
60, 9, 6, 38, 13308
70, 9, 6, 38, 13308
80, 9, 6, 38, 13308
90, 10, 6, 37, 13308
100, 10, 6, 37, 13308
110, 10, 6, 37, 13308
120, 10, 12, 37, 13308
130, 10, 153, 37, 13308
140, 10, 335, 37, 13308
150, 10, 520, 37, 13308
160, 11, 678, 36, 13308
170, 12, 852, 35, 13308
180, 12, 1022, 35, 13308
190, 13, 1198, 34, 13308
200, 14, 1482, 33, 13308
240, 18, 2221, 29, 13308
280, 19, 2954, 28, 13308
320, 19, 3673, 28, 13308
360, 20, 4325, 27, 13308
400, 22, 4923, 25, 13308
440, 22, 5617, 25, 13308
480, 24, 6242, 23, 13308
