threshold, tp, fp, fn, numKnownAddresses
1, 0, 1, 49, 13237
2, 1, 1, 48, 13237
3, 1, 2, 48, 13237
4, 1, 2, 48, 13237
5, 2, 2, 47, 13237
6, 3, 2, 46, 13237
7, 4, 2, 45, 13237
8, 5, 2, 44, 13237
9, 6, 2, 43, 13237
10, 7, 2, 42, 13237
15, 9, 2, 40, 13237
20, 10, 5, 39, 13237
25, 12, 8, 37, 13237
30, 13, 12, 36, 13237
35, 13, 17, 36, 13237
40, 13, 22, 36, 13237
45, 13, 27, 36, 13237
50, 13, 32, 36, 13237
55, 13, 37, 36, 13237
60, 13, 42, 36, 13237
65, 13, 47, 36, 13237
70, 13, 52, 36, 13237
75, 13, 57, 36, 13237
80, 14, 61, 35, 13237
85, 14, 66, 35, 13237
90, 14, 71, 35, 13237
95, 14, 76, 35, 13237
