threshold, tp, fp, fn, numKnownAddresses
10, 3, 2, 45, 13430
20, 9, 2, 39, 13430
30, 9, 2, 39, 13430
40, 9, 2, 39, 13430
50, 9, 4, 39, 13430
60, 9, 4, 39, 13430
70, 9, 5, 39, 13430
80, 10, 6, 38, 13430
90, 10, 7, 38, 13430
100, 10, 7, 38, 13430
110, 10, 7, 38, 13430
120, 10, 10, 38, 13430
130, 10, 117, 38, 13430
140, 11, 255, 37, 13430
150, 13, 368, 35, 13430
160, 13, 478, 35, 13430
170, 13, 589, 35, 13430
180, 14, 700, 34, 13430
190, 14, 820, 34, 13430
200, 14, 927, 34, 13430
240, 14, 1385, 34, 13430
280, 14, 1851, 34, 13430
320, 14, 2309, 34, 13430
360, 15, 2723, 33, 13430
400, 15, 3183, 33, 13430
440, 15, 3666, 33, 13430
480, 15, 4205, 33, 13430
