threshold, tp, fp, fn, numKnownAddresses
1, 0, 1, 47, 13308
2, 1, 1, 46, 13308
3, 2, 1, 45, 13308
4, 3, 1, 44, 13308
5, 4, 1, 43, 13308
6, 4, 2, 43, 13308
7, 4, 2, 43, 13308
8, 4, 2, 43, 13308
9, 5, 2, 42, 13308
10, 5, 2, 42, 13308
15, 8, 2, 39, 13308
20, 9, 2, 38, 13308
25, 9, 4, 38, 13308
30, 9, 6, 38, 13308
35, 9, 6, 38, 13308
40, 9, 6, 38, 13308
45, 10, 8, 37, 13308
50, 10, 13, 37, 13308
55, 10, 18, 37, 13308
60, 10, 23, 37, 13308
65, 10, 28, 37, 13308
70, 10, 33, 37, 13308
75, 10, 38, 37, 13308
80, 10, 43, 37, 13308
85, 10, 48, 37, 13308
90, 10, 53, 37, 13308
95, 10, 58, 37, 13308
