threshold, tp, fp, fn, numKnownAddresses
1, 0, 1, 50, 13444
2, 0, 1, 50, 13444
3, 0, 1, 50, 13444
4, 1, 1, 49, 13444
5, 2, 1, 48, 13444
6, 2, 1, 48, 13444
7, 2, 1, 48, 13444
8, 3, 1, 47, 13444
9, 4, 1, 46, 13444
10, 4, 1, 46, 13444
15, 5, 1, 45, 13444
20, 9, 2, 41, 13444
25, 9, 2, 41, 13444
30, 9, 2, 41, 13444
35, 9, 3, 41, 13444
40, 11, 3, 39, 13444
45, 12, 3, 38, 13444
50, 12, 5, 38, 13444
55, 12, 10, 38, 13444
60, 12, 15, 38, 13444
65, 12, 20, 38, 13444
70, 12, 25, 38, 13444
75, 12, 30, 38, 13444
80, 12, 35, 38, 13444
85, 12, 40, 38, 13444
90, 12, 45, 38, 13444
95, 12, 50, 38, 13444
