threshold, tp, fp, fn, numKnownAddresses
10, 6, 3, 48, 13401
20, 9, 3, 45, 13401
30, 10, 3, 44, 13401
40, 10, 4, 44, 13401
50, 10, 4, 44, 13401
60, 10, 4, 44, 13401
70, 10, 5, 44, 13401
80, 11, 5, 43, 13401
90, 11, 5, 43, 13401
100, 11, 5, 43, 13401
110, 11, 5, 43, 13401
120, 12, 12, 42, 13401
130, 13, 157, 41, 13401
140, 14, 320, 40, 13401
150, 15, 481, 39, 13401
160, 15, 626, 39, 13401
170, 15, 764, 39, 13401
180, 15, 930, 39, 13401
190, 15, 1065, 39, 13401
200, 15, 1187, 39, 13401
240, 18, 1748, 36, 13401
280, 20, 2279, 34, 13401
320, 21, 2703, 33, 13401
360, 21, 3133, 33, 13401
400, 21, 3595, 33, 13401
440, 21, 4035, 33, 13401
480, 22, 4440, 32, 13401
